CustomerID;Gender;Age;Annual Income ($);Spending Score (1-5);Profession;Work Experience;Family Size
1;Male;21;35000;5;Engineer;3;3
2;Female;23;84000;5;Healthcare;1;3
3;Female;35;93000;5;Healthcare;4;4
4;Female;35;62000;5;Artist;0;1
5;Female;46;42000;5;Artist;13;2
6;Male;29;52000;5;Artist;1;3
7;Female;23;20000;5;Artist;5;4
8;Male;18;62000;5;Homemaker;9;7
9;Female;21;95000;5;Healthcare;3;4
10;Male;24;85000;5;Healthcare;0;2
11;Male;39;6000;5;Healthcare;1;3
12;Male;40;4000;5;Artist;0;2
13;Male;20;89000;5;Engineer;1;2
14;Female;29;92000;5;Executive;5;5
15;Female;57;32000;5;Engineer;0;2
16;Male;32;66000;5;Artist;0;5
17;Female;32;85000;5;Lawyer;1;2
18;Male;28;26000;5;Marketing;8;5
19;Male;34;90000;5;Artist;6;3
20;Male;39;41000;5;Engineer;0;1
21;Female;27;10000;5;Marketing;8;4
22;Female;29;50000;5;Healthcare;1;5
23;Male;19;35000;5;Executive;0;5
24;Female;31;58000;5;Healthcare;1;5
25;Female;33;83000;5;Artist;0;5
26;Male;36;99000;5;Artist;5;2
27;Female;30;28000;5;Artist;3;4
28;Male;35;42000;5;Engineer;8;1
29;Female;32;61000;5;Entertainment;7;5
30;Female;29;66000;5;Artist;4;4
31;Male;30;72000;5;Artist;6;2
32;Female;36;95000;5;Artist;4;2
33;Female;38;45000;5;Artist;10;4
34;Male;30;33000;5;Artist;4;2
35;Female;1;57000;5;Engineer;1;2
36;Female;0;22000;5;Artist;2;1
37;Male;49;50000;5;Lawyer;8;1
38;Female;83;35000;5;Doctor;8;2
39;Male;76;89000;5;Healthcare;9;4
40;Female;67;18000;5;Lawyer;0;2
41;Male;91;9000;5;Healthcare;1;5
42;Male;23;0;5;Doctor;1;3
43;Male;80;20000;5;Engineer;1;3
44;Male;79;73000;5;Homemaker;6;7
45;Female;52;35000;5;Doctor;2;6
46;Female;1;12000;5;Doctor;0;3
47;Female;18;143000;5;Artist;0;2
48;Male;78;65000;5;Lawyer;1;2
49;Male;16;9000;5;Executive;7;4
50;Female;32;63000;5;Executive;1;4
51;Female;85;140000;5;Entertainment;1;1
52;Female;21;5000;5;Marketing;0;1
53;Female;10;68000;5;Doctor;6;3
54;Female;79;31000;5;Engineer;3;3
55;Male;32;32000;5;Entertainment;5;2
56;Male;26;112766;5;Engineer;8;4
57;Male;72;93921;5;Lawyer;9;2
58;Male;45;183217;5;Artist;7;2
59;Male;13;95469;5;Doctor;6;1
60;Female;63;64589;5;Engineer;7;1
61;Male;0;173743;5;Artist;0;4
62;Female;84;173185;5;Artist;3;1
63;Male;75;142034;5;Entertainment;1;4
64;Female;4;148431;5;Healthcare;1;8
65;Female;78;126599;5;Lawyer;0;3
66;Female;88;166107;5;Artist;13;4
67;Female;92;67850;5;Artist;9;4
68;Female;51;72303;5;Lawyer;7;1
69;Female;89;115811;5;Homemaker;11;4
70;Male;46;62833;5;Artist;1;2
71;Female;28;178265;5;Lawyer;2;1
72;Female;48;167232;5;Doctor;6;4
73;Male;22;159296;5;Artist;8;1
74;Female;79;143560;5;Artist;1;3
75;Male;83;131574;5;Artist;1;2
76;Female;25;67447;5;Artist;15;2
77;Female;75;151696;5;Artist;15;1
78;Female;50;91389;5;Healthcare;11;7
79;Male;54;186359;5;Doctor;13;2
80;Male;21;187761;5;Healthcare;2;3
81;Male;37;102717;5;Healthcare;7;4
82;Male;83;102647;5;Entertainment;0;2
83;Female;65;86509;5;Artist;0;4
84;Female;75;135088;5;Lawyer;1;5
85;Female;56;183540;5;Entertainment;0;6
86;Female;68;72847;5;Artist;1;2
87;Male;1;111558;5;Healthcare;7;4
88;Male;37;153399;5;Entertainment;1;6
89;Female;6;162858;5;Artist;0;1
90;Female;95;66322;5;Artist;0;3
91;Male;7;70749;5;Artist;13;3
92;Male;54;65874;5;Artist;7;6
93;Female;58;67097;5;Engineer;6;1
94;Male;7;176349;5;Healthcare;8;2
95;Female;15;181332;5;Artist;14;6
96;Female;21;153885;5;Artist;6;6
97;Male;93;120597;5;Artist;2;4
98;Male;0;186002;5;Doctor;15;2
99;Male;20;130813;5;Artist;17;5
100;Female;11;59202;5;Healthcare;5;4
101;Male;7;134008;5;Entertainment;2;1
102;Male;76;155622;5;Healthcare;0;2
103;Female;60;77857;5;Artist;1;6
104;Female;60;81934;5;Healthcare;1;4
105;Female;59;130511;5;Artist;3;4
106;Female;54;144502;5;Lawyer;3;1
107;Male;12;84547;5;Homemaker;3;3
108;Male;41;65723;5;Artist;6;7
109;Female;38;96794;5;Healthcare;6;3
110;Female;20;111896;5;Executive;1;3
111;Female;48;174109;5;Entertainment;0;1
112;Female;37;148196;5;Artist;0;2
113;Male;85;131742;5;Entertainment;1;1
114;Female;78;59971;5;Homemaker;14;7
115;Male;48;115832;5;Artist;2;2
116;Male;57;152267;5;Engineer;9;5
117;Female;84;151340;5;Artist;1;7
118;Female;56;100271;5;Artist;1;5
119;Male;99;164781;5;Engineer;0;2
120;Female;25;156016;5;Artist;2;1
121;Female;35;99300;5;Homemaker;5;2
122;Male;89;57033;5;Artist;0;4
123;Male;40;185321;5;Artist;0;7
124;Female;17;186577;5;Healthcare;8;5
125;Male;0;151298;5;Artist;0;6
126;Female;2;101451;5;Healthcare;4;3
127;Male;15;142776;5;Engineer;8;5
128;Male;22;162598;5;Artist;8;3
129;Female;37;146195;5;Healthcare;4;4
130;Female;10;112818;5;Marketing;15;7
131;Male;49;53509;5;Artist;5;4
132;Female;52;70302;5;Executive;14;3
133;Male;62;71795;5;Healthcare;8;1
134;Male;41;76567;5;Doctor;16;1
135;Female;23;73759;5;Doctor;0;7
136;Female;52;93947;5;Healthcare;9;2
137;Female;37;149095;5;Lawyer;1;2
138;Female;16;93854;5;Healthcare;0;7
139;Male;32;118280;5;Artist;0;5
140;Male;91;94576;5;Artist;0;1
141;Female;26;113707;5;Entertainment;0;5
142;Female;66;178627;5;Healthcare;1;2
143;Female;49;170188;5;Lawyer;1;6
144;Male;74;91794;5;Entertainment;0;7
145;Female;16;189072;5;Artist;6;3
146;Female;3;158549;5;Executive;0;3
147;Male;31;134263;5;Marketing;1;3
148;Male;94;171677;5;Artist;0;6
149;Female;3;117638;5;Healthcare;2;7
150;Female;23;144916;5;Engineer;1;7
151;Female;13;180786;5;Lawyer;1;5
152;Female;57;87553;5;Artist;1;1
153;Female;29;112240;5;Entertainment;0;4
154;Female;74;92355;5;Entertainment;1;4
155;Male;8;158123;5;Artist;1;1
156;Female;62;70119;5;Artist;0;1
157;Male;5;57265;5;Entertainment;7;7
158;Male;4;141336;5;Homemaker;2;1
159;Female;69;153217;5;Healthcare;1;6
160;Female;9;158596;5;Artist;1;2
161;Male;80;127335;5;Artist;6;6
162;Female;50;183548;5;Entertainment;1;4
163;Male;12;101388;5;Artist;0;2
164;Female;25;106569;5;Engineer;1;3
165;Male;77;93242;5;Entertainment;0;7
166;Female;34;115184;5;Homemaker;1;4
167;Female;0;147719;5;Lawyer;1;7
168;Male;11;166247;5;Executive;1;2
169;Female;67;121528;5;Healthcare;8;4
170;Male;25;57535;5;Entertainment;1;7
171;Female;6;146776;5;Lawyer;1;7
172;Female;62;111859;5;Healthcare;6;1
173;Female;43;185900;5;Homemaker;9;4
174;Female;34;94029;5;Healthcare;1;4
175;Female;15;81138;5;Healthcare;9;7
176;Female;13;141580;5;Healthcare;0;4
177;Female;88;171362;5;Executive;6;4
178;Female;63;78971;5;Engineer;1;2
179;Female;31;144582;5;Doctor;1;1
180;Male;18;62362;5;Lawyer;7;3
181;Female;52;167214;5;Homemaker;8;7
182;Female;40;113739;5;Artist;5;7
183;Female;95;72068;5;Healthcare;0;6
184;Male;25;81367;5;Homemaker;0;3
185;Female;12;82382;5;Executive;1;3
186;Female;2;145597;5;Artist;1;6
187;Male;51;162072;5;Engineer;1;1
188;Female;68;71467;5;Artist;5;7
189;Male;18;185861;5;Artist;3;6
190;Female;25;111379;5;Artist;0;2
191;Male;5;83704;5;Entertainment;1;1
192;Male;12;109618;5;Artist;7;3
193;Female;5;169702;5;Doctor;5;1
194;Male;59;97185;5;Entertainment;0;5
195;Male;23;67535;5;Healthcare;7;6
196;Female;41;87975;5;Homemaker;9;7
197;Female;24;154787;5;Executive;3;5
198;Female;17;109759;5;Artist;9;3
199;Male;32;130697;5;Artist;1;2
200;Male;24;77976;5;Artist;11;3
201;Female;80;55712;5;Artist;5;6
202;Male;8;151648;5;Healthcare;8;6
203;Female;99;55972;5;Entertainment;1;7
204;Female;99;145777;5;Executive;1;5
205;Male;41;119259;5;Healthcare;1;5
206;Male;55;99423;5;Healthcare;0;5
207;Male;15;114061;5;Artist;2;5
208;Female;96;168990;5;Doctor;9;5
209;Male;60;162612;5;Engineer;1;6
210;Female;1;111424;5;Entertainment;8;5
211;Female;65;115299;5;Artist;6;3
212;Male;6;93186;5;Entertainment;1;3
213;Male;17;116822;5;Doctor;1;3
214;Female;72;111587;5;Artist;7;4
215;Male;47;65207;5;Healthcare;1;2
216;Female;53;67916;5;Healthcare;0;6
217;Female;82;99983;5;Executive;0;1
218;Male;45;152226;5;Artist;4;4
219;Male;23;146473;5;Artist;1;4
220;Female;95;67398;5;Entertainment;2;5
221;Male;91;94846;5;Engineer;0;5
222;Male;44;90167;5;Engineer;0;3
223;Female;7;172913;5;Executive;3;4
224;Female;41;94316;5;Artist;0;6
225;Female;96;64713;5;Entertainment;2;7
226;Male;36;187305;5;Engineer;6;7
227;Male;97;147301;5;Lawyer;1;5
228;Female;85;92591;5;Artist;8;2
229;Female;41;69730;5;Artist;1;4
230;Female;84;133765;5;Artist;1;3
231;Female;99;57677;5;Lawyer;0;5
232;Female;43;140876;5;Entertainment;0;4
233;Female;28;116644;5;Artist;6;3
234;Female;86;145679;5;Lawyer;9;6
235;Female;91;51733;5;Healthcare;0;5
236;Female;87;129972;5;Executive;1;6
237;Male;89;83953;5;Healthcare;0;3
238;Male;55;65257;5;Doctor;2;3
239;Male;64;163783;5;Healthcare;3;1
240;Female;1;108342;5;Doctor;0;3
241;Female;82;184481;5;Executive;0;2
242;Female;16;60044;5;Artist;4;1
243;Female;38;161130;5;Artist;8;3
244;Female;40;179150;5;Artist;5;2
245;Male;65;54431;5;Healthcare;1;7
246;Female;88;168437;5;Artist;2;2
247;Male;84;172523;5;Artist;6;2
248;Male;89;100155;5;Healthcare;6;1
249;Female;31;143241;5;Executive;4;7
250;Female;81;125316;5;Lawyer;0;6
251;Female;78;59784;5;Artist;3;3
252;Female;59;158372;5;Artist;1;1
253;Female;38;145704;5;Marketing;0;4
254;Female;70;55875;5;Engineer;0;5
255;Female;44;177513;5;Lawyer;1;5
256;Female;87;100850;5;Doctor;0;3
257;Female;8;186682;5;Entertainment;1;1
258;Female;0;61228;5;Entertainment;1;6
259;Female;2;138529;5;Healthcare;0;4
260;Male;18;157757;5;Doctor;0;4
261;Male;20;161156;5;Engineer;0;4
262;Female;81;142013;5;Entertainment;3;4
263;Female;98;51866;5;Artist;12;7
264;Female;47;187898;5;Artist;6;2
265;Female;83;115517;5;Healthcare;0;6
266;Female;45;177368;5;Healthcare;1;2
267;Male;15;131061;5;Healthcare;0;7
268;Female;83;129507;5;Healthcare;4;7
269;Female;12;149031;5;Artist;10;5
270;Female;28;178285;5;Artist;4;7
271;Female;95;159010;5;Lawyer;6;2
272;Female;6;76164;5;Artist;6;2
273;Male;42;53392;5;Artist;6;4
274;Female;75;76474;5;Doctor;5;5
275;Male;16;79257;5;Healthcare;6;2
276;Female;45;114741;5;Artist;0;5
277;Female;82;157994;5;Artist;1;1
